Year,Year Code,Race,Race Code,2013 Urbanization,2013 Urbanization Code,Deaths,Population,Crude Rate
1999,1999,American Indian or Alaska Native,1002-5,Medium Metro,3,11,272492,Unreliable
1999,1999,American Indian or Alaska Native,1002-5,Micropolitan (Nonmetro),5,23,248052,9.3
1999,1999,American Indian or Alaska Native,1002-5,NonCore (Nonmetro),6,15,234285,Unreliable
1999,1999,Asian or Pacific Islander,A-PI,Large Central Metro,1,90,3163187,2.8
1999,1999,Asian or Pacific Islander,A-PI,Large Fringe Metro,2,26,1276461,2.0
1999,1999,Asian or Pacific Islander,A-PI,Medium Metro,3,38,996735,3.8
1999,1999,Black or African American,2054-5,Large Central Metro,1,1143,8964560,12.8
1999,1999,Black or African American,2054-5,Large Fringe Metro,2,437,3627901,12.0
1999,1999,Black or African American,2054-5,Medium Metro,3,424,3247397,13.1
1999,1999,Black or African American,2054-5,Small Metro,4,164,1229440,13.3
1999,1999,Black or African American,2054-5,Micropolitan (Nonmetro),5,141,1046561,13.5
1999,1999,Black or African American,2054-5,NonCore (Nonmetro),6,96,862171,11.1
1999,1999,White,2106-3,Large Central Metro,1,1254,31478648,4.0
1999,1999,White,2106-3,Large Fringe Metro,2,909,28469752,3.2
1999,1999,White,2106-3,Medium Metro,3,840,24557112,3.4
1999,1999,White,2106-3,Small Metro,4,362,11498674,3.1
1999,1999,White,2106-3,Micropolitan (Nonmetro),5,357,11614390,3.1
1999,1999,White,2106-3,NonCore (Nonmetro),6,262,8373340,3.1
2000,2000,American Indian or Alaska Native,1002-5,Micropolitan (Nonmetro),5,15,260390,Unreliable
2000,2000,American Indian or Alaska Native,1002-5,NonCore (Nonmetro),6,22,249465,8.8
2000,2000,Asian or Pacific Islander,A-PI,Large Central Metro,1,90,3250470,2.8
2000,2000,Asian or Pacific Islander,A-PI,Large Fringe Metro,2,39,1333063,2.9
2000,2000,Asian or Pacific Islander,A-PI,Medium Metro,3,39,1020712,3.8
2000,2000,Black or African American,2054-5,Large Central Metro,1,1044,9019888,11.6
2000,2000,Black or African American,2054-5,Large Fringe Metro,2,454,3717951,12.2
2000,2000,Black or African American,2054-5,Medium Metro,3,413,3284161,12.6
2000,2000,Black or African American,2054-5,Small Metro,4,182,1242133,14.7
2000,2000,Black or African American,2054-5,Micropolitan (Nonmetro),5,119,1055274,11.3
2000,2000,Black or African American,2054-5,NonCore (Nonmetro),6,107,867873,12.3
2000,2000,White,2106-3,Large Central Metro,1,1195,31669641,3.8
2000,2000,White,2106-3,Large Fringe Metro,2,898,28736797,3.1
2000,2000,White,2106-3,Medium Metro,3,854,24710427,3.5
2000,2000,White,2106-3,Small Metro,4,411,11541733,3.6
2000,2000,White,2106-3,Micropolitan (Nonmetro),5,363,11626280,3.1
2000,2000,White,2106-3,NonCore (Nonmetro),6,226,8355846,2.7
2001,2001,American Indian or Alaska Native,1002-5,Large Central Metro,1,12,385792,Unreliable
2001,2001,American Indian or Alaska Native,1002-5,Micropolitan (Nonmetro),5,12,263665,Unreliable
2001,2001,American Indian or Alaska Native,1002-5,NonCore (Nonmetro),6,17,249703,Unreliable
2001,2001,Asian or Pacific Islander,A-PI,Large Central Metro,1,95,3421672,2.8
